Episode 0, Average Reward: 13.53
Episode 1000, Average Reward: 22.17
Episode 2000, Average Reward: 27.94
Episode 3000, Average Reward: 32.58
Episode 4000, Average Reward: 34.21
Episode 5000, Average Reward: 36.09
Episode 6000, Average Reward: 38.88
Episode 7000, Average Reward: 40.73
Episode 8000, Average Reward: 42.43
Episode 9000, Average Reward: 45.17
Episode 10000, Average Reward: 47.82
Episode 11000, Average Reward: 50.49
Episode 12000, Average Reward: 54.22
Episode 13000, Average Reward: 55.76
Episode 14000, Average Reward: 58.39
Episode 15000, Average Reward: 62.51
Episode 16000, Average Reward: 66.11
Episode 17000, Average Reward: 73.24
Episode 18000, Average Reward: 74.61
Episode 19000, Average Reward: 79.44
Episode 20000, Average Reward: 84.75
Episode 21000, Average Reward: 89.69
Episode 22000, Average Reward: 95.16
Episode 23000, Average Reward: 100.04
Episode 24000, Average Reward: 105.19
Episode 25000, Average Reward: 108.53
Episode 26000, Average Reward: 115.67
Episode 27000, Average Reward: 118.25
Episode 28000, Average Reward: 121.10
Episode 29000, Average Reward: 127.38
Episode 30000, Average Reward: 133.58
Episode 31000, Average Reward: 137.89
Episode 32000, Average Reward: 143.25
Episode 33000, Average Reward: 144.97
Episode 34000, Average Reward: 149.32
Episode 35000, Average Reward: 152.82
Episode 36000, Average Reward: 157.23
Episode 37000, Average Reward: 163.77
Episode 38000, Average Reward: 165.16
Episode 39000, Average Reward: 167.82
Episode 40000, Average Reward: 170.05
Episode 41000, Average Reward: 172.87
Episode 42000, Average Reward: 176.14
Episode 43000, Average Reward: 178.95
Episode 44000, Average Reward: 179.81
Episode 45000, Average Reward: 183.09
Episode 46000, Average Reward: 184.53
Episode 47000, Average Reward: 185.29
Episode 48000, Average Reward: 186.59
Episode 49000, Average Reward: 188.87
Episode 50000, Average Reward: 190.14
Episode 51000, Average Reward: 189.53
Episode 52000, Average Reward: 191.03
Episode 53000, Average Reward: 192.84
Episode 54000, Average Reward: 194.21
Episode 55000, Average Reward: 191.12
Episode 56000, Average Reward: 194.77
Episode 57000, Average Reward: 196.42
