Episode 0, Average Reward: 29.00
Episode 1000, Average Reward: 26.61
Episode 2000, Average Reward: 27.41
Episode 3000, Average Reward: 28.50
Episode 4000, Average Reward: 28.74
Episode 5000, Average Reward: 30.60
Episode 6000, Average Reward: 30.81
Episode 7000, Average Reward: 32.05
Episode 8000, Average Reward: 34.13
Episode 9000, Average Reward: 33.37
Episode 10000, Average Reward: 35.02
Episode 11000, Average Reward: 36.93
Episode 12000, Average Reward: 37.73
Episode 13000, Average Reward: 39.12
Episode 14000, Average Reward: 38.26
Episode 15000, Average Reward: 39.44
Episode 16000, Average Reward: 39.61
Episode 17000, Average Reward: 42.15
Episode 18000, Average Reward: 43.11
Episode 19000, Average Reward: 42.61
Episode 20000, Average Reward: 44.20
Episode 21000, Average Reward: 43.40
Episode 22000, Average Reward: 46.49
Episode 23000, Average Reward: 46.81
Episode 24000, Average Reward: 47.06
Episode 25000, Average Reward: 48.88
Episode 26000, Average Reward: 49.05
Episode 27000, Average Reward: 48.91
Episode 28000, Average Reward: 49.61
Episode 29000, Average Reward: 51.57
Episode 30000, Average Reward: 51.82
Episode 31000, Average Reward: 52.34
Episode 32000, Average Reward: 53.23
Episode 33000, Average Reward: 54.71
Episode 34000, Average Reward: 55.18
Episode 35000, Average Reward: 56.39
Episode 36000, Average Reward: 55.97
Episode 37000, Average Reward: 56.55
Episode 38000, Average Reward: 58.13
Episode 39000, Average Reward: 57.92
Episode 40000, Average Reward: 58.76
Episode 41000, Average Reward: 60.84
Episode 42000, Average Reward: 62.90
Episode 43000, Average Reward: 59.99
Episode 44000, Average Reward: 59.65
Episode 45000, Average Reward: 61.10
Episode 46000, Average Reward: 62.99
Episode 47000, Average Reward: 62.95
Episode 48000, Average Reward: 67.06
Episode 49000, Average Reward: 63.61
Episode 50000, Average Reward: 65.50
Episode 51000, Average Reward: 64.99
Episode 52000, Average Reward: 69.64
Episode 53000, Average Reward: 69.40
Episode 54000, Average Reward: 70.39
Episode 55000, Average Reward: 71.62
Episode 56000, Average Reward: 72.18
Episode 57000, Average Reward: 75.48
Episode 58000, Average Reward: 75.00
Episode 59000, Average Reward: 76.50
Episode 60000, Average Reward: 77.87
Episode 61000, Average Reward: 78.40
Episode 62000, Average Reward: 81.50
Episode 63000, Average Reward: 84.31
Episode 64000, Average Reward: 85.26
Episode 65000, Average Reward: 85.66
Episode 66000, Average Reward: 89.60
Episode 67000, Average Reward: 91.72
Episode 68000, Average Reward: 94.28
Episode 69000, Average Reward: 94.11
Episode 70000, Average Reward: 98.81
Episode 71000, Average Reward: 99.86
Episode 72000, Average Reward: 105.40
Episode 73000, Average Reward: 102.96
Episode 74000, Average Reward: 110.07
Episode 75000, Average Reward: 109.71
Episode 76000, Average Reward: 118.82
Episode 77000, Average Reward: 121.80
Episode 78000, Average Reward: 125.58
Episode 79000, Average Reward: 128.76
Episode 80000, Average Reward: 133.31
Episode 81000, Average Reward: 138.20
Episode 82000, Average Reward: 140.34
Episode 83000, Average Reward: 143.88
Episode 84000, Average Reward: 151.99
Episode 85000, Average Reward: 155.53
Episode 86000, Average Reward: 161.16
Episode 87000, Average Reward: 164.72
Episode 88000, Average Reward: 165.58
Episode 89000, Average Reward: 169.57
Episode 90000, Average Reward: 175.67
Episode 91000, Average Reward: 177.29
Episode 92000, Average Reward: 179.44
Episode 93000, Average Reward: 182.56
Episode 94000, Average Reward: 185.65
Episode 95000, Average Reward: 186.97
Episode 96000, Average Reward: 187.82
Episode 97000, Average Reward: 189.20
Episode 98000, Average Reward: 190.64
Episode 99000, Average Reward: 192.85
Episode 100000, Average Reward: 192.50
