Episode 0, Average Reward: 11.00
Episode 1000, Average Reward: 27.22
Episode 2000, Average Reward: 50.55
Episode 3000, Average Reward: 64.64
Episode 4000, Average Reward: 70.18
Episode 5000, Average Reward: 82.51
Episode 6000, Average Reward: 95.25
Episode 7000, Average Reward: 97.61
Episode 8000, Average Reward: 98.82
Episode 9000, Average Reward: 112.01
Episode 10000, Average Reward: 105.24
Episode 11000, Average Reward: 118.79
Episode 12000, Average Reward: 112.36
Episode 13000, Average Reward: 108.14
Episode 14000, Average Reward: 117.81
Episode 15000, Average Reward: 121.76
Episode 16000, Average Reward: 138.94
Episode 17000, Average Reward: 129.53
Episode 18000, Average Reward: 126.18
Episode 19000, Average Reward: 136.27
Episode 20000, Average Reward: 149.37
Episode 21000, Average Reward: 161.04
Episode 22000, Average Reward: 144.94
Episode 23000, Average Reward: 157.18
Episode 24000, Average Reward: 165.65
Episode 25000, Average Reward: 162.16
Episode 26000, Average Reward: 160.40
Episode 27000, Average Reward: 158.49
Episode 28000, Average Reward: 163.01
Episode 29000, Average Reward: 170.28
Episode 30000, Average Reward: 172.73
Episode 31000, Average Reward: 171.86
Episode 32000, Average Reward: 176.75
Episode 33000, Average Reward: 175.96
Episode 34000, Average Reward: 174.12
Episode 35000, Average Reward: 170.97
Episode 36000, Average Reward: 163.93
Episode 37000, Average Reward: 170.79
Episode 38000, Average Reward: 176.16
Episode 39000, Average Reward: 172.46
Episode 40000, Average Reward: 175.11
Episode 41000, Average Reward: 173.76
Episode 42000, Average Reward: 173.80
Episode 43000, Average Reward: 172.77
Episode 44000, Average Reward: 169.90
Episode 45000, Average Reward: 169.50
Episode 46000, Average Reward: 173.17
Episode 47000, Average Reward: 178.79
Episode 48000, Average Reward: 175.61
Episode 49000, Average Reward: 177.83
Episode 50000, Average Reward: 171.54
Episode 51000, Average Reward: 175.49
Episode 52000, Average Reward: 177.25
Episode 53000, Average Reward: 174.46
Episode 54000, Average Reward: 173.94
Episode 55000, Average Reward: 175.26
Episode 56000, Average Reward: 174.86
Episode 57000, Average Reward: 174.54
Episode 58000, Average Reward: 176.63
Episode 59000, Average Reward: 170.89
Episode 60000, Average Reward: 172.91
Episode 61000, Average Reward: 174.14
Episode 62000, Average Reward: 170.81
Episode 63000, Average Reward: 171.71
Episode 64000, Average Reward: 173.71
Episode 65000, Average Reward: 175.11
Episode 66000, Average Reward: 173.87
Episode 67000, Average Reward: 177.64
Episode 68000, Average Reward: 175.61
Episode 69000, Average Reward: 175.96
Episode 70000, Average Reward: 174.67
Episode 71000, Average Reward: 173.79
Episode 72000, Average Reward: 175.48
Episode 73000, Average Reward: 174.81
Episode 74000, Average Reward: 173.83
Episode 75000, Average Reward: 175.76
Episode 76000, Average Reward: 173.63
Episode 77000, Average Reward: 176.15
Episode 78000, Average Reward: 175.44
Episode 79000, Average Reward: 175.79
Episode 80000, Average Reward: 177.18
Episode 81000, Average Reward: 175.40
Episode 82000, Average Reward: 173.06
Episode 83000, Average Reward: 174.34
Episode 84000, Average Reward: 174.09
Episode 85000, Average Reward: 175.24
Episode 86000, Average Reward: 176.48
Episode 87000, Average Reward: 175.90
Episode 88000, Average Reward: 172.98
Episode 89000, Average Reward: 175.60
Episode 90000, Average Reward: 175.62
Episode 91000, Average Reward: 177.70
Episode 92000, Average Reward: 176.09
Episode 93000, Average Reward: 175.52
Episode 94000, Average Reward: 177.12
Episode 95000, Average Reward: 174.80
Episode 96000, Average Reward: 174.15
Episode 97000, Average Reward: 176.09
Episode 98000, Average Reward: 175.82
Episode 99000, Average Reward: 173.36
